1,2,3
NO_QUERY,crzy_cdn_bulas,our duck and chicken are taking wayyy too long to hatch 
NO_QUERY,justnetgirl,"Put vacation photos online (They were so cute) a few yrs ago. PC crashed, and now I forget the name of the site (I'm crying). "
NO_QUERY,CiaraRenee,I need a hug 
NO_QUERY,deelau,"@andywana Not sure what they are, only that they are PoS! As much as I want to, I dont think can trade away company assets sorry andy! "
NO_QUERY,Lindsey0920,@oanhLove I hate when that happens... 
NO_QUERY,HybridMink,"I have a sad feeling that Dallas is not going to show up  I gotta say though, you'd think more shows would use music from the game. mmm"
NO_QUERY,gzacher,Ugh....92 degrees tomorrow 
NO_QUERY,Jenn_L,Where did u move to?  I thought u were already in sd. ?? Hmmm. Random u found me. Glad to hear yer doing well.
NO_QUERY,xVivaLaJuicyx,"@BatManYNG I miss my ps3, it's out of commission  Wutcha playing? Have you copped 'Blood On The Sand'?"
NO_QUERY,krbleyle,just leaving the parking lot of work! 
NO_QUERY,xpika,The Life is cool. But not for Me. 
NO_QUERY,Henkuyinepu,"Sadly though, I've never gotten to experience the post coitus cigarette before, and now I never will. "
NO_QUERY,ericg622,I had such a nice day. Too bad the rain comes in tomorrow at 5am 
NO_QUERY,adri_mane,@Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks 
NO_QUERY,a_mariepyt,Damm back to school tomorrow 
NO_QUERY,playboybacon,"Mo jobs, no money.  how in the hell is min wage here 4 f'n clams an hour?"
NO_QUERY,leslierosales,@katortiz  Not forever... See you soon!
NO_QUERY,PresidentSnow,"@Lt_Algonquin agreed, I saw the failwhale allllll day today. "
NO_QUERY,michrod,@jdarter Oh! Haha... dude I dont really look at em unless someone says HEY I ADDED YOU. Sorry  I'm so terrible at that. I need a pop up!
NO_QUERY,timmelko,@ninjen I'm sure you're right...    I need to start working out with you and the Nikster... Or Jared at least!
NO_QUERY,BrookeAmanda,i really hate how people diss my bands!  Trace is clearly NOT ugly!
NO_QUERY,deelau,"Gym attire today was: Puma singlet, Adidas shorts.......and black business socks and leather shoes  Lucky did not run into any cute girls."
NO_QUERY,paulseverio,Why won't you show my location?!   http://twitpic.com/2y2es
NO_QUERY,iv3tte,No picnic  my phone smells like citrus.
NO_QUERY,fedunska,"@ashleyac My donkey is sensitive about such comments. Nevertheless, he'd (and me'd) be glad to see your mug asap. Charger is still awol. "
NO_QUERY,MagicalMason,No new csi tonight.  FML
NO_QUERY,kaelaaa,i think my arms are sore from tennis 
NO_QUERY,emo_holic,wonders why someone that u like so much can make you so unhappy in a split seccond . depressed . 
NO_QUERY,thelazyboy,sleep soon... i just hate saying bye and see you tomorrow for the night. 
NO_QUERY,driveaway2008,"@statravelAU just got ur newsletter, those fares really are unbelievable, shame I already booked and paid for mine "
NO_QUERY,mscha,missin' the boo 
NO_QUERY,mike_webster_au,@markhardy1974 Me too  #itm
NO_QUERY,basiabeans,Damn... I don't have any chalk! MY CHALKBOARD IS USELESS 
NO_QUERY,calihonda2001,"had a blast at the Getty Villa, but hates that she's had a sore throat all day. It's just getting worse too "
NO_QUERY,djwayneski,@msdrama hey missed ya at the meeting  sup mama
NO_QUERY,Ceejison,"My tummy hurts.  I wonder if the hypnosis has anything to do with it? If so, it's working, I get it, STOP SMOKING!!!"
NO_QUERY,ItsBrigittaYo,why is it always the fat ones?! 
NO_QUERY,MissLaura317,"@januarycrimson Sorry, babe!!  My fam annoys me too. Thankfully, they're asleep right now. Muahaha. *evil laugh*"
NO_QUERY,RU_it_girl,@Hollywoodheat I should have paid more attention when we covered photoshop in my webpage design class in undergrad 
NO_QUERY,viviana09,wednesday my b-day! don't know what 2 do!! 
NO_QUERY,disneyfan4eva,Poor cameron (the hills) 
NO_QUERY,RoseMaryK,"pray for me please, the ex is threatening to start sh** at my/our babies 1st Birthday party. what a jerk. and I still have a headache "
NO_QUERY,perrohunter,"@makeherfamous hmm  , do u really enjoy being with him ? if the problems are too constants u should think things more , find someone ulike"
NO_QUERY,Dogbook,Strider is a sick little puppy  http://apps.facebook.com/dogbook/profile/view/5248435
NO_QUERY,natalieantipas,"so rylee,grace...wana go steve's party or not?? SADLY SINCE ITS EASTER I WNT B ABLE 2 DO MUCH  BUT OHH WELL....."
NO_QUERY,timdonnelly,"hey, I actually won one of my bracket pools! Too bad it wasn't the one for money "
NO_QUERY,homeworld,"@stark YOU don't follow me, either  and i work for you!"
NO_QUERY,willy_chaz,You need excellent python skills to be a data scientist. Must be! Excellent python
NO_QUERY,LeakySpoon, Body Of Missing Northern Calif. Girl Found: Police have found the remains of a missing Northern California girl .. http://tr.im/imji
NO_QUERY,cityrat59,"@mangaaa I hope they will increase the capacity fast, yesterday was such a pain. Got the fail whale +15 times in 2 hours.... "
NO_QUERY,kenandise,Behind on my classes for work 
NO_QUERY,annette414,watching &quot;House&quot; 
NO_QUERY,blackheartbunny,@kpreyes Remember my bum leg? Strikes back this time its serious 
NO_QUERY,GetGary,"@paradisej cool, i will. their are all kinds of complaints about this laptop online about overheating, but no recalls "
NO_QUERY,Dogbook,Emily will be glad when Mommy is done training at her new job. She misses her.  http://apps.facebook.com/dogbook/profile/view/6176014
NO_QUERY,SimoniNicole,would rather the first party send bad messages than the 3rd party send mixed ones  Sophmore year all over again?
NO_QUERY,wireandroses,@Henkuyinepu it's overrated 
NO_QUERY,jess_higley,@marykatherine_q i know! I heard it this afternoon and wondered the same thing. Moscow is so behind the times 
NO_QUERY,missannabanana,laying in bed with no voice.. 
NO_QUERY,Zella17,I'm sooo sad!!! they killed off Kutner on House  whyyyyyyyy
NO_QUERY,polarna10,@jacobsummers Sorry  tell them mea culpa from me and that I really am sorry.
NO_QUERY,megan_rice,"@Alliana07 it didn't make any sense to me, the suicide thing. I refuse to believe that that is actually what happened. "
NO_QUERY,ashleyirvin,@salancaster  hope your ok.
NO_QUERY,eyezup,@mercedesashley Damn! The grind is inspirational and saddening at the same time.  Don't want you to stop cuz I like what u do! Much love
NO_QUERY,Jonas_Dreamgirl,@HibaNick yeah aw but i know i wudnt stand a chance 
NO_QUERY,BreannaBonana,ugh. cant sleep. its 1:30am. 
NO_QUERY,becklyn13,Hanging in Crooners. Wanna sing. Can't. Sucks. 
NO_QUERY,sonyolmos,@eRRe_sC aaw i miss ya all too.. im leaving to BH tomorrow &quot;morning&quot; i think.. aww i wanna go to the beach w u girls!! 
NO_QUERY,JenBah,Is pissed off that there's no ASBA's for a radio station. 
NO_QUERY,viviana09,wednesday my b-day n don't know what 2 do!  
NO_QUERY,BustaBusta,I know my life has been flipped upside down when I just thought in my head that some Ramen sounds good. 
NO_QUERY,MadameCrow,I am in pain. My back and sides hurt. Not to mention crying is made of fail. 
